,Date,dji,dji_Volume,goog,goog_Volume,ccl,ccl_Volume,zm,zm_Volume,ba,ba_Volume,World,USA
0,4/16/20,23537.6797,471050000,1263.47,2491294,11.85,56765448,150.26,14602634,134.24,40110412,2029930,639664
1,4/15/20,23504.3496,437630000,1262.47,1671703,12.38,55626929,151.56,14193277,145.98,39170590,1948511,609516
2,4/14/20,23949.7598,485910000,1269.23,2470353,12.51,79412740,141.89,11679919,141,33796548,1873265,582594
3,4/13/20,23390.7695,394320000,1217.56,1739828,11.5,77185015,135.92,15411680,147.33,25944952,1807303,557571
4,4/9/20,23719.3691,566400000,1211.45,2175421,12.42,144437173,124.51,15512973,151.84,37869667,1476818,432132
5,4/8/20,23433.5703,472740000,1210.28,1975135,11.99,107421533,117.81,26243288,146.87,41219762,1391888,398809
6,4/7/20,22653.8594,594660000,1186.51,2387329,11.3,185108543,113.75,20166162,141.58,56560178,1316986,368196
7,4/6/20,22679.9902,610760000,1186.92,2664723,10.21,195184928,122.94,25378936,148.77,50771164,1245596,337635
8,4/3/20,21052.5293,450010000,1097.88,2313400,8.49,124136430,128.2,12238129,124.52,37244450,1005937,245540
9,4/2/20,21413.4395,529540000,1120.84,1964881,7.97,261660751,121.93,27313753,123.27,42157052,928490,216721
10,4/1/20,20943.5098,506680000,1105.62,2344173,8.8,179262157,137,11453262,130.7,41740852,851341,189618
11,3/31/20,21917.1602,571210000,1162.81,2487983,13.17,112841719,146.12,10023701,149.14,29782664,777133,164620
12,3/30/20,22327.4805,545540000,1146.82,2574061,12.8,46110899,150.88,15762176,152.28,50975151,715358,143025
13,3/27/20,21636.7793,588830000,1110.71,3208495,14.41,64481734,151.7,13271899,162,47729982,527767,85991
14,3/26/20,22552.1699,705180000,1161.75,3573755,17.82,97396096,141.15,9284038,180.55,63172068,468049,69194
15,3/25/20,21200.5508,796320000,1102.49,4081528,15.55,77868838,138.11,14743014,158.73,77314766,416845,55231
16,3/24/20,20704.9102,799340000,1134.46,3344450,13.68,64715137,135.18,22401325,127.68,42870185,377918,46442
17,3/23/20,18591.9297,787970000,1056.62,4044137,12,52361305,159.56,27681459,105.62,45885390,338133,35206
18,3/20/20,19173.9805,872290000,1072.32,3601750,12,80012448,130.55,13872634,95.01,41315012,242364,14250
19,3/19/20,20087.1895,780300000,1115.29,3651106,10,52549911,123.77,16248378,97.71,40102013,213150,9415
20,3/18/20,19898.9199,871360000,1096.8,4233435,9.3,69702661,118.71,13557675,101.89,61670161,194836,6427
21,3/17/20,21237.3809,793060000,1119.8,3861489,12.71,41551767,111.1,18721520,124.14,54313919,180096,4661
22,3/16/20,20188.5195,770130000,1084.33,4252365,14.57,50680785,107.86,17210658,129.61,26677344,167418,3774
23,3/13/20,23185.6191,843080000,1219.73,3700125,17.58,55486986,107.47,9233528,170.2,21124475,133852,1663
24,3/12/20,21200.6191,908260000,1114.91,4226748,14.97,47701460,109.47,12097921,154.84,31573834,125497,1312
25,3/11/20,23553.2207,663960000,1215.41,2611229,21.75,38234589,110.3,12594394,189.08,28430955,118610,1025
26,3/10/20,25018.1602,654860000,1280.39,2611373,24.02,45416047,108.49,10244041,231.01,13035158,114232,754
27,3/9/20,23851.0195,750430000,1215.56,3365365,21.74,33668701,113.75,14571293,227.17,11531537,109695,554
